report_date,weighted_average
2020-12-21,
2020-12-18,
2020-12-17,.00
2020-12-16,
2020-12-15,.00
2020-12-14,285.00
2020-12-11,.00
2020-12-10,
2020-12-09,
2020-12-08,289.37
2020-12-07,
2020-12-04,
2020-12-03,287.53
2020-12-02,297.69
2020-12-01,
2020-11-30,287.44
2020-11-27,
2020-11-25,
2020-11-24,.00
2020-11-23,.00
2020-11-20,
2020-11-19,313.22
2020-11-18,
2020-11-17,
2020-11-16,250.81
2020-11-13,279.87
2020-11-12,
2020-11-11,
2020-11-10,.00
2020-11-09,
2020-11-06,285.08
2020-11-05,
2020-11-04,
2020-11-03,256.44
2020-11-02,
2020-10-30,
2020-10-29,263.56
2020-10-28,263.55
2020-10-27,245.11
2020-10-26,
2020-10-23,275.59
2020-10-22,
2020-10-21,241.45
2020-10-20,
2020-10-19,269.60
2020-10-16,
2020-10-15,
2020-10-14,266.78
2020-10-13,284.38
2020-10-12,
2020-10-09,
2020-10-08,
2020-10-07,288.49
2020-10-06,
2020-10-05,
2020-10-02,
2020-10-01,
2020-09-30,283.40
2020-09-29,
2020-09-28,290.64
2020-09-25,
2020-09-24,
2020-09-23,
2020-09-22,
2020-09-21,
2020-09-18,309.68
2020-09-17,
2020-09-16,
2020-09-15,.00
2020-09-14,
2020-09-11,335.05
2020-09-10,
2020-09-09,
2020-09-08,337.81
2020-09-04,.00
2020-09-03,346.01
2020-09-02,.00
2020-09-01,.00
2020-08-31,
2020-08-28,.00
2020-08-27,
2020-08-26,353.28
2020-08-25,
2020-08-24,.00
2020-08-21,288.23
2020-08-20,324.65
2020-08-19,.00
2020-08-18,
2020-08-17,
2020-08-14,
2020-08-13,306.68
2020-08-12,
2020-08-11,299.06
2020-08-10,
2020-08-07,247.99
2020-08-06,.00
2020-08-05,299.11
2020-08-04,.00
2020-08-03,
2020-07-31,
2020-07-30,288.97
2020-07-29,
2020-07-28,
2020-07-27,
2020-07-24,
2020-07-23,
2020-07-22,.00
2020-07-21,
2020-07-20,249.40
2020-07-17,.00
2020-07-16,
2020-07-15,.00
2020-07-14,
2020-07-13,
2020-07-10,
2020-07-09,275.29
2020-07-08,.00
2020-07-07,
2020-07-06,248.41
2020-07-02,
2020-07-01,259.51
2020-06-30,
2020-06-29,251.81
2020-06-26,.00
2020-06-25,
2020-06-24,
2020-06-23,258.00
2020-06-22,249.82
2020-06-19,
2020-06-18,264.61
2020-06-17,.00
2020-06-16,273.95
2020-06-15,317.62
2020-06-12,.00
2020-06-11,
2020-06-10,308.01
2020-06-09,.00
2020-06-08,
2020-06-05,
2020-06-04,
2020-06-03,480.24
2020-06-02,.00
2020-06-01,579.21
2020-05-29,.00
2020-05-28,
2020-05-27,.00
2020-05-26,.00
2020-05-22,.00
2020-05-21,
2020-05-20,
2020-05-19,.00
2020-05-18,
2020-05-15,.00
2020-05-14,
2020-05-13,
2020-05-12,
2020-05-11,
2020-05-08,
2020-05-07,.00
2020-05-06,
2020-05-05,.00
2020-05-04,.00
2020-05-01,
2020-04-30,.00
2020-04-29,
2020-04-28,
2020-04-27,244.73
2020-04-24,
2020-04-23,309.41
2020-04-22,305.13
2020-04-21,278.12
2020-04-20,
2020-04-17,228.99
2020-04-16,
2020-04-15,204.86
2020-04-14,
2020-04-13,
2020-04-10,
2020-04-09,
2020-04-08,268.97
2020-04-07,
2020-04-06,
2020-04-03,275.12
2020-04-02,
2020-04-01,315.00
2020-03-31,
2020-03-30,
2020-03-27,
2020-03-26,
2020-03-25,324.75
2020-03-24,
2020-03-23,292.50
2020-03-20,
2020-03-19,307.04
2020-03-18,306.01
2020-03-17,321.80
2020-03-16,284.25
2020-03-13,
2020-03-12,284.10
2020-03-11,282.49
2020-03-10,
2020-03-09,
2020-03-06,277.76
2020-03-05,
2020-03-04,289.54
2020-03-03,
2020-03-02,271.95
2020-02-28,
2020-02-27,289.04
2020-02-26,285.00
2020-02-25,
2020-02-24,280.00
2020-02-21,284.77
2020-02-20,
2020-02-19,291.11
