total_pounds,weighted_average,report_date,item_description
"7,202",350.81,2016-08-26,butt_bnls
,,2016-08-29,butt_bnls
"25,440",995.61,2016-08-29,tndrloin
"5,062",353.38,2016-08-30,butt_bnls
"59,583",993.70,2016-08-30,tndrloin
"189,981",973.48,2016-08-31,tndrloin
"17,338",348.77,2016-08-31,butt_bnls
"195,020",958.36,2016-09-01,tndrloin
"1,856",350.05,2016-09-01,butt_bnls
"152,229",946.24,2016-09-02,tndrloin
"4,273",342.85,2016-09-02,butt_bnls
"4,575",344.12,2016-09-06,butt_bnls
"40,530",982.60,2016-09-06,tndrloin
"82,528",967.80,2016-09-07,tndrloin
"25,726",324.64,2016-09-07,butt_bnls
"214,418",938.77,2016-09-08,tndrloin
"5,854",329.34,2016-09-08,butt_bnls
"309,097",911.50,2016-09-09,tndrloin
"2,450",330.73,2016-09-09,butt_bnls
"147,523",941.02,2016-09-12,tndrloin
"4,571",328.19,2016-09-12,butt_bnls
"30,399",941.16,2016-09-13,tndrloin
"2,915",329.50,2016-09-13,butt_bnls
"9,994",319.59,2016-09-14,butt_bnls
"238,437",947.18,2016-09-14,tndrloin
"337,070",902.09,2016-09-15,tndrloin
"4,672",318.65,2016-09-15,butt_bnls
"38,279",915.67,2016-09-16,tndrloin
"7,212",322.15,2016-09-16,butt_bnls
"120,264",933.42,2016-09-19,tndrloin
"4,065",319.20,2016-09-19,butt_bnls
"66,743",908.60,2016-09-20,tndrloin
"4,707",313.80,2016-09-20,butt_bnls
"7,495",308.55,2016-09-21,butt_bnls
"131,113",940.50,2016-09-21,tndrloin
"109,496",904.59,2016-09-22,tndrloin
"11,962",306.42,2016-09-22,butt_bnls
"144,061",912.29,2016-09-23,tndrloin
,,2016-09-23,butt_bnls
"106,794",939.25,2016-09-26,tndrloin
"19,705",291.55,2016-09-26,butt_bnls
"44,311",907.20,2016-09-27,tndrloin
"2,628",310.68,2016-09-27,butt_bnls
"82,824",937.37,2016-09-28,tndrloin
"5,982",297.93,2016-09-28,butt_bnls
"202,414",901.16,2016-09-29,tndrloin
"10,729",289.81,2016-09-29,butt_bnls
"358,464",904.38,2016-09-30,tndrloin
"2,924",302.06,2016-09-30,butt_bnls
"162,546",900.56,2016-10-03,tndrloin
"3,761",296.98,2016-10-03,butt_bnls
,,2016-10-04,butt_bnls
"14,853",901.00,2016-10-04,tndrloin
"62,530",262.82,2016-10-05,butt_bnls
"81,972",945.76,2016-10-05,tndrloin
"99,943",893.95,2016-10-06,tndrloin
"23,572",278.96,2016-10-06,butt_bnls
"45,830",907.05,2016-10-07,tndrloin
"14,580",263.70,2016-10-07,butt_bnls
"74,858",925.45,2016-10-10,tndrloin
"5,745",268.71,2016-10-10,butt_bnls
"4,080",255.37,2016-10-11,butt_bnls
"56,870",886.35,2016-10-11,tndrloin
"141,550",886.51,2016-10-12,tndrloin
"7,642",266.59,2016-10-12,butt_bnls
"133,241",875.37,2016-10-13,tndrloin
"11,715",261.25,2016-10-13,butt_bnls
"68,094",863.81,2016-10-14,tndrloin
"3,430",252.94,2016-10-14,butt_bnls
"28,693",907.33,2016-10-17,tndrloin
"10,801",248.17,2016-10-17,butt_bnls
"3,016",272.73,2016-10-18,butt_bnls
"105,180",861.16,2016-10-18,tndrloin
"33,270",247.54,2016-10-19,butt_bnls
"607,614",808.72,2016-10-19,tndrloin
"158,481",845.87,2016-10-20,tndrloin
"27,122",244.67,2016-10-20,butt_bnls
"41,023",889.27,2016-10-21,tndrloin
"13,800",240.00,2016-10-21,butt_bnls
"15,741",862.14,2016-10-24,tndrloin
"4,089",251.49,2016-10-24,butt_bnls
"12,601",243.38,2016-10-25,butt_bnls
"69,099",920.51,2016-10-25,tndrloin
"133,117",908.66,2016-10-26,tndrloin
"15,357",239.75,2016-10-26,butt_bnls
"115,582",887.92,2016-10-27,tndrloin
"8,208",240.28,2016-10-27,butt_bnls
"42,382",910.77,2016-10-28,tndrloin
,,2016-10-28,butt_bnls
"31,311",904.99,2016-10-31,tndrloin
"6,911",240.15,2016-10-31,butt_bnls
"15,248",935.69,2016-11-01,tndrloin
,,2016-11-01,butt_bnls
"4,538",234.44,2016-11-02,butt_bnls
"25,634",927.89,2016-11-02,tndrloin
"2,631",235.23,2016-11-03,butt_bnls
"28,901",935.36,2016-11-03,tndrloin
"88,052",943.06,2016-11-04,tndrloin
"3,816",229.31,2016-11-04,butt_bnls
"30,993",943.74,2016-11-07,tndrloin
"3,167",226.69,2016-11-07,butt_bnls
"21,653",948.62,2016-11-08,tndrloin
,,2016-11-08,butt_bnls
"4,802",220.52,2016-11-09,butt_bnls
"41,658",941.95,2016-11-09,tndrloin
"271,402",990.62,2016-11-10,tndrloin
"3,450",212.53,2016-11-10,butt_bnls
"43,256",961.76,2016-11-11,tndrloin
"8,889",214.08,2016-11-11,butt_bnls
"45,734",968.92,2016-11-14,tndrloin
"4,157",205.00,2016-11-14,butt_bnls
"75,651","1,011.02",2016-11-15,tndrloin
"85,156",194.28,2016-11-15,butt_bnls
"34,148",981.54,2016-11-16,tndrloin
"11,814",204.96,2016-11-16,butt_bnls
"10,557",209.95,2016-11-17,butt_bnls
"54,801","1,024.33",2016-11-17,tndrloin
"52,651",993.43,2016-11-18,tndrloin
"9,721",209.44,2016-11-18,butt_bnls
"60,042","1,031.01",2016-11-21,tndrloin
"3,689",202.46,2016-11-21,butt_bnls
"17,941","1,042.09",2016-11-22,tndrloin
"42,688",204.09,2016-11-22,butt_bnls
"24,030","1,052.03",2016-11-23,tndrloin
"11,054",205.11,2016-11-23,butt_bnls
"3,348",203.02,2016-11-25,butt_bnls
"13,505","1,039.62",2016-11-25,tndrloin
"33,490","1,044.74",2016-11-28,tndrloin
"3,790",208.96,2016-11-28,butt_bnls
"26,827","1,045.73",2016-11-29,tndrloin
"3,695",204.41,2016-11-29,butt_bnls
"58,266","1,074.41",2016-11-30,tndrloin
"3,666",211.93,2016-11-30,butt_bnls
"62,849","1,062.47",2016-12-01,tndrloin
,,2016-12-01,butt_bnls
"11,652","1,066.95",2016-12-02,tndrloin
,,2016-12-02,butt_bnls
"156,934","1,047.99",2016-12-05,tndrloin
,,2016-12-05,butt_bnls
,,2016-12-06,butt_bnls
"28,300","1,058.95",2016-12-06,tndrloin
"5,036",211.48,2016-12-07,butt_bnls
"24,942","1,077.76",2016-12-07,tndrloin
"25,873","1,079.53",2016-12-08,tndrloin
"7,101",216.28,2016-12-08,butt_bnls
"54,801","1,051.25",2016-12-09,tndrloin
"5,932",210.10,2016-12-09,butt_bnls
"99,639","1,012.83",2016-12-12,tndrloin
"6,712",211.28,2016-12-12,butt_bnls
,,2016-12-13,butt_bnls
"97,093","1,003.29",2016-12-13,tndrloin
"526,716",986.27,2016-12-14,tndrloin
"9,939",208.22,2016-12-14,butt_bnls
"132,365","1,014.88",2016-12-15,tndrloin
"3,052",216.83,2016-12-15,butt_bnls
"126,601",996.48,2016-12-16,tndrloin
"8,016",215.00,2016-12-16,butt_bnls
"158,669",963.24,2016-12-19,tndrloin
"10,268",220.38,2016-12-19,butt_bnls
,,2016-12-20,butt_bnls
"115,500",971.91,2016-12-20,tndrloin
"7,453",218.51,2016-12-21,butt_bnls
"262,401",907.28,2016-12-21,tndrloin
"52,440","1,003.02",2016-12-22,tndrloin
"3,768",217.13,2016-12-22,butt_bnls
"55,815",939.22,2016-12-23,tndrloin
,,2016-12-23,butt_bnls
"109,566",926.68,2016-12-27,tndrloin
,,2016-12-27,butt_bnls
"7,643",238.27,2016-12-28,butt_bnls
"232,957",935.98,2016-12-28,tndrloin
"67,841",979.83,2016-12-29,tndrloin
"6,725",242.14,2016-12-29,butt_bnls
"159,917",941.52,2016-12-30,tndrloin
"11,240",242.26,2016-12-30,butt_bnls
"213,923",932.95,2017-01-03,tndrloin
"11,863",373.21,2017-01-03,butt_CC
"5,709",242.21,2017-01-03,butt_bnls
"249,137",926.74,2017-01-04,tndrloin
"6,196",363.46,2017-01-04,butt_CC
"6,159",247.67,2017-01-04,butt_bnls
"24,013",376.97,2017-01-05,butt_CC
"4,567",237.09,2017-01-05,butt_bnls
"111,680",932.41,2017-01-05,tndrloin
"42,208",936.99,2017-01-06,tndrloin
"5,212",354.58,2017-01-06,butt_CC
"3,781",242.62,2017-01-06,butt_bnls
"44,166",241.35,2017-01-09,butt_bnls
"114,902",917.43,2017-01-09,tndrloin
,,2017-01-09,butt_CC
"7,105",240.84,2017-01-10,butt_bnls
"127,419",927.67,2017-01-10,tndrloin
"7,876",349.86,2017-01-10,butt_CC
"436,172",878.22,2017-01-11,tndrloin
"19,881",375.80,2017-01-11,butt_CC
"8,474",241.52,2017-01-11,butt_bnls
"61,685",887.24,2017-01-12,tndrloin
,,2017-01-12,butt_CC
,,2017-01-12,butt_bnls
"37,280",901.00,2017-01-13,tndrloin
"18,788",382.71,2017-01-13,butt_CC
"145,515",240.47,2017-01-13,butt_bnls
"5,210",239.91,2017-01-16,butt_bnls
"10,095",362.61,2017-01-16,butt_CC
"53,705",898.29,2017-01-16,tndrloin
"83,587",886.73,2017-01-17,tndrloin
"27,037",444.80,2017-01-17,butt_CC
"15,178",235.97,2017-01-17,butt_bnls
"219,911",913.68,2017-01-18,tndrloin
"63,697",373.37,2017-01-18,butt_CC
"55,231",241.93,2017-01-18,butt_bnls
"109,279",890.75,2017-01-19,tndrloin
"35,652",381.98,2017-01-19,butt_CC
"3,700",240.36,2017-01-19,butt_bnls
"4,554",236.93,2017-01-20,butt_bnls
"55,674",381.59,2017-01-20,butt_CC
"65,972",899.58,2017-01-20,tndrloin
"273,259",238.19,2017-01-23,butt_bnls
"47,608",903.51,2017-01-23,tndrloin
"1,419",356.16,2017-01-23,butt_CC
"53,305",237.45,2017-01-24,butt_bnls
"49,051",907.92,2017-01-24,tndrloin
"85,255",377.09,2017-01-24,butt_CC
"154,066",907.50,2017-01-25,tndrloin
"4,272",372.39,2017-01-25,butt_CC
"19,747",233.40,2017-01-25,butt_bnls
"91,625",911.36,2017-01-26,tndrloin
"20,057",393.25,2017-01-26,butt_CC
"10,868",223.71,2017-01-26,butt_bnls
"16,851",386.49,2017-01-27,butt_CC
"6,066",251.98,2017-01-27,butt_bnls
"164,177",896.70,2017-01-27,tndrloin
"140,307",896.93,2017-01-30,tndrloin
,,2017-01-30,butt_CC
"4,899",244.35,2017-01-30,butt_bnls
"5,437",258.96,2017-01-31,butt_bnls
"26,986",964.45,2017-01-31,tndrloin
"7,301",417.47,2017-01-31,butt_CC
"162,949",255.30,2017-02-01,butt_bnls
"83,924",910.32,2017-02-01,tndrloin
"57,523",406.68,2017-02-01,butt_CC
"39,940",956.42,2017-02-02,tndrloin
"20,862",415.78,2017-02-02,butt_CC
"4,497",253.92,2017-02-02,butt_bnls
"233,231",878.52,2017-02-03,tndrloin
"14,278",408.95,2017-02-03,butt_CC
"4,972",265.74,2017-02-03,butt_bnls
"37,715",891.80,2017-02-06,tndrloin
"10,581",389.45,2017-02-06,butt_CC
"2,160",256.08,2017-02-06,butt_bnls
"24,210",259.53,2017-02-07,butt_bnls
"151,011",895.97,2017-02-07,tndrloin
"22,001",420.08,2017-02-07,butt_CC
"64,624",911.99,2017-02-08,tndrloin
,,2017-02-08,butt_CC
"61,448",265.80,2017-02-08,butt_bnls
"198,790",898.23,2017-02-09,tndrloin
,,2017-02-09,butt_CC
"3,696",266.68,2017-02-09,butt_bnls
"9,294",259.54,2017-02-10,butt_bnls
,,2017-02-10,butt_CC
"108,298",907.10,2017-02-10,tndrloin
"1,159",263.92,2017-02-13,butt_bnls
"466,611",897.36,2017-02-13,tndrloin
"26,158",376.43,2017-02-13,butt_CC
"2,192",269.26,2017-02-14,butt_bnls
"118,877",910.15,2017-02-14,tndrloin
"21,989",348.04,2017-02-14,butt_CC
"57,651",910.67,2017-02-15,tndrloin
"29,104",418.09,2017-02-15,butt_CC
"7,992",279.58,2017-02-15,butt_bnls
"279,088",928.43,2017-02-16,tndrloin
,,2017-02-16,butt_CC
"10,655",266.66,2017-02-16,butt_bnls
"5,109",276.21,2017-02-17,butt_bnls
"128,437",389.61,2017-02-17,butt_CC
"75,058",921.25,2017-02-17,tndrloin
"335,846",932.19,2017-02-20,tndrloin
"50,996",409.43,2017-02-20,butt_CC
"13,300",296.92,2017-02-20,butt_bnls
"10,772",929.23,2017-02-21,tndrloin
"54,071",439.21,2017-02-21,butt_CC
"1,580",280.57,2017-02-21,butt_bnls
"32,767",291.70,2017-02-22,butt_bnls
"12,670",444.12,2017-02-22,butt_CC
"203,298",952.29,2017-02-22,tndrloin
