report_date,total_pounds
2021-01-29,
2021-01-28,47399
2021-01-27,
2021-01-26,
2021-01-25,13493
2021-01-22,
2021-01-21,7054
2021-01-20,
2021-01-19,
2021-01-18,
2021-01-15,6083
2021-01-14,
2021-01-13,
2021-01-12,
2021-01-11,
2021-01-08,
2021-01-07,4894
2021-01-06,11665
2021-01-05,
2021-01-04,
2020-12-31,6324
2020-12-30,2674
2020-12-29,5849
2020-12-28,
2020-12-23,
2020-12-22,
2020-12-21,
2020-12-18,
2020-12-17,
2020-12-16,
2020-12-15,
2020-12-14,5909
2020-12-11,
2020-12-10,
2020-12-09,
2020-12-08,1795
2020-12-07,
2020-12-04,
2020-12-03,16541
2020-12-02,1480
2020-12-01,
2020-11-30,4082
2020-11-27,
2020-11-25,
2020-11-24,
2020-11-23,
2020-11-20,
2020-11-19,9679
2020-11-18,
2020-11-17,
2020-11-16,15004
2020-11-13,1660
2020-11-12,
2020-11-11,
2020-11-10,
2020-11-09,
2020-11-06,3666
2020-11-05,
2020-11-04,
2020-11-03,5522
2020-11-02,
2020-10-30,
2020-10-29,14975
2020-10-28,1228
2020-10-27,43567
2020-10-26,
2020-10-23,3135
2020-10-22,
2020-10-21,35660
2020-10-20,
2020-10-19,9923
2020-10-16,
2020-10-15,
2020-10-14,13958
2020-10-13,11557
2020-10-12,
2020-10-09,
2020-10-08,
2020-10-07,4279
2020-10-06,
2020-10-05,
2020-10-02,
2020-10-01,
2020-09-30,8815
2020-09-29,
2020-09-28,9877
2020-09-25,
2020-09-24,
2020-09-23,
2020-09-22,
2020-09-21,
2020-09-18,4392
2020-09-17,
2020-09-16,
2020-09-15,
2020-09-14,
2020-09-11,8112
2020-09-10,
2020-09-09,
2020-09-08,2475
2020-09-04,
2020-09-03,2350
2020-09-02,
2020-09-01,
2020-08-31,
2020-08-28,
2020-08-27,
2020-08-26,6180
2020-08-25,
2020-08-24,
2020-08-21,7993
2020-08-20,2974
2020-08-19,
2020-08-18,
2020-08-17,
2020-08-14,
2020-08-13,3529
2020-08-12,
2020-08-11,4775
2020-08-10,
2020-08-07,9945
2020-08-06,
2020-08-05,5089
2020-08-04,
2020-08-03,
2020-07-31,
2020-07-30,7723
2020-07-29,
2020-07-28,
2020-07-27,
2020-07-24,
2020-07-23,
2020-07-22,
2020-07-21,
2020-07-20,8673
2020-07-17,
2020-07-16,
2020-07-15,
2020-07-14,
2020-07-13,
2020-07-10,
2020-07-09,7815
2020-07-08,
2020-07-07,
2020-07-06,16313
