report_date,total_pounds
2020-10-13,295464
2020-10-12,63965
2020-10-09,104128
2020-10-08,111288
2020-10-07,36335
2020-10-06,44150
2020-10-05,37865
2020-10-02,45964
2020-10-01,93741
2020-09-30,49280
2020-09-29,19122
2020-09-28,15956
2020-09-25,185373
2020-09-24,97081
2020-09-23,81960
2020-09-22,49762
2020-09-21,37446
2020-09-18,139410
2020-09-17,41493
2020-09-16,86180
2020-09-15,79029
2020-09-14,165967
2020-09-11,50980
2020-09-10,129762
2020-09-09,83917
2020-09-08,54638
2020-09-04,32321
2020-09-03,142240
2020-09-02,30159
2020-09-01,60421
2020-08-31,54857
2020-08-28,20401
2020-08-27,8280
2020-08-26,23845
2020-08-25,12168
2020-08-24,75185
2020-08-21,55768
2020-08-20,112356
2020-08-19,59110
2020-08-18,35265
2020-08-17,34039
2020-08-14,44987
2020-08-13,166723
2020-08-12,47702
2020-08-11,69969
2020-08-10,106224
2020-08-07,134534
2020-08-06,56055
2020-08-05,18677
2020-08-04,62780
2020-08-03,30962
2020-07-31,65066
2020-07-30,196277
2020-07-29,20119
2020-07-28,17507
2020-07-27,61052
2020-07-24,95341
2020-07-23,182724
2020-07-22,44849
2020-07-21,147960
2020-07-20,33043
2020-07-17,57577
2020-07-16,209332
2020-07-15,21633
2020-07-14,14488
2020-07-13,53845
2020-07-10,32753
2020-07-09,101763
2020-07-08,249041
2020-07-07,78176
2020-07-06,51443
2020-07-02,127450
2020-07-01,255485
2020-06-30,82028
2020-06-29,112323
2020-06-26,78423
2020-06-25,255283
2020-06-24,181164
2020-06-23,127836
2020-06-22,130112
2020-06-19,108350
2020-06-18,258773
2020-06-17,99715
2020-06-16,117554
2020-06-15,61195
2020-06-12,233534
2020-06-11,94301
2020-06-10,20267
2020-06-09,31530
2020-06-08,80873
2020-06-05,51257
2020-06-04,95102
2020-06-03,11421
2020-06-02,19168
2020-06-01,45254
2020-05-29,53415
2020-05-28,56939
2020-05-27,38425
2020-05-26,71582
2020-05-22,40006
2020-05-21,91248
2020-05-20,41018
2020-05-19,94661
2020-05-18,43184
2020-05-15,29462
2020-05-14,47489
2020-05-13,21497
2020-05-12,29060
2020-05-11,46611
2020-05-08,76138
2020-05-07,32141
2020-05-06,168362
2020-05-05,58683
2020-05-04,79236
2020-05-01,6391
2020-04-30,46670
2020-04-29,167552
2020-04-28,43071
2020-04-27,27082
2020-04-24,23099
2020-04-23,48788
2020-04-22,30774
2020-04-21,25133
2020-04-20,63670
2020-04-17,256002
2020-04-16,175771
2020-04-15,164875
2020-04-14,144526
2020-04-13,118886
2020-04-10,125744
2020-04-09,463132
2020-04-08,208589
2020-04-07,345151
2020-04-06,109220
2020-04-03,17445
2020-04-02,218115
2020-04-01,8230
2020-03-31,51225
2020-03-30,37212
2020-03-27,30743
2020-03-26,77567
2020-03-25,191919
2020-03-24,281841
2020-03-23,126896
2020-03-20,296755
2020-03-19,380816
2020-03-18,90496
2020-03-17,156365
2020-03-16,131721
2020-03-13,19599
2020-03-12,197767
2020-03-11,83850
2020-03-10,42222
2020-03-09,30496
2020-03-06,37181
2020-03-05,93498
2020-03-04,269580
2020-03-03,240464
2020-03-02,23017
2020-02-28,129880
2020-02-27,118017
2020-02-26,66674
2020-02-25,33901
2020-02-24,38330
2020-02-21,53862
2020-02-20,211894
2020-02-19,252536
2020-02-18,54024
2020-02-17,97781
2020-02-14,77800
2020-02-13,78217
2020-02-12,236160
2020-02-11,45499
2020-02-10,32893
2020-02-07,111075
2020-02-06,133210
2020-02-05,80244
2020-02-04,10657
2020-02-03,64407
2020-01-31,62731
2020-01-30,123868
2020-01-29,66114
2020-01-28,25647
2020-01-27,43050
2020-01-24,48118
2020-01-23,83800
2020-01-22,38170
2020-01-21,71325
2020-01-20,228451
2020-01-17,192849
2020-01-16,44390
2020-01-15,78773
2020-01-14,27556
2020-01-13,23269
2020-01-10,173804
2020-01-09,136525
2020-01-08,204164
2020-01-07,245159
2020-01-06,384635
2020-01-03,189295
2020-01-02,117867
2019-12-31,148134
2019-12-30,101208
2019-12-27,132596
2019-12-26,341798
2019-12-23,51202
2019-12-20,56734
2019-12-19,47909
2019-12-18,247424
2019-12-17,272685
2019-12-16,117193
2019-12-13,94441
2019-12-12,124086
2019-12-11,208032
2019-12-10,93133
2019-12-09,27029
2019-12-06,144831
2019-12-05,127011
2019-12-04,243589
2019-12-03,42803
2019-12-02,28239
2019-11-29,30716
2019-11-27,80191
2019-11-26,373217
2019-11-25,16322
