report_date,weighted_average
2020-05-22,1228.07
2020-05-21,1231.46
2020-05-20,1236.15
2020-05-19,1224.67
2020-05-18,1227.64
2020-05-15,1233.59
2020-05-14,1233.58
2020-05-13,1242.73
2020-05-12,1220.23
2020-05-11,1257.49
2020-05-08,1234.81
2020-05-07,1214.81
2020-05-06,1216.65
2020-05-05,1196.69
2020-05-04,1161.30
2020-05-01,1091.08
2020-04-30,1099.94
2020-04-29,1072.61
2020-04-28,1002.68
2020-04-27,983.99
2020-04-24,968.13
2020-04-23,826.05
2020-04-22,841.72
2020-04-21,769.33
2020-04-20,593.13
2020-04-17,588.50
2020-04-16,548.73
2020-04-15,523.56
2020-04-14,522.34
2020-04-13,530.62
2020-04-10,521.70
2020-04-09,529.85
2020-04-08,509.67
2020-04-07,528.60
2020-04-06,621.64
2020-04-03,659.80
2020-04-02,641.22
2020-04-01,707.06
2020-03-31,673.13
2020-03-30,703.04
2020-03-27,692.11
2020-03-26,690.98
2020-03-25,702.44
2020-03-24,716.65
2020-03-23,767.02
2020-03-20,739.66
2020-03-19,781.98
2020-03-18,861.95
2020-03-17,900.15
2020-03-16,915.47
2020-03-13,919.06
2020-03-12,908.62
2020-03-11,924.51
2020-03-10,942.76
2020-03-09,949.49
2020-03-06,939.82
2020-03-05,943.12
2020-03-04,940.51
2020-03-03,936.00
2020-03-02,960.06
2020-02-28,918.88
2020-02-27,962.02
2020-02-26,986.59
2020-02-25,942.77
2020-02-24,943.28
2020-02-21,950.80
2020-02-20,936.77
2020-02-19,936.81
2020-02-18,927.65
2020-02-17,947.24
2020-02-14,941.90
2020-02-13,977.58
2020-02-12,955.30
2020-02-11,974.53
2020-02-10,996.73
2020-02-07,966.44
2020-02-06,980.82
2020-02-05,982.15
2020-02-04,1043.32
2020-02-03,999.64
2020-01-31,1006.09
2020-01-30,987.11
2020-01-29,1012.11
2020-01-28,1011.89
2020-01-27,1013.41
2020-01-24,1007.08
2020-01-23,1016.01
2020-01-22,1000.80
2020-01-21,1029.50
2020-01-20,996.16
2020-01-17,999.92
2020-01-16,1007.49
2020-01-15,1011.32
2020-01-14,1005.30
2020-01-13,1047.59
2020-01-10,995.01
2020-01-09,1009.29
2020-01-08,990.93
2020-01-07,989.56
2020-01-06,989.60
2020-01-03,1008.16
2020-01-02,1007.03
2019-12-31,1030.92
2019-12-30,1026.78
2019-12-27,1023.86
2019-12-26,1034.63
2019-12-23,1052.55
2019-12-20,1052.24
2019-12-19,1068.31
2019-12-18,1052.23
2019-12-17,1092.77
2019-12-16,1090.55
2019-12-13,1122.35
2019-12-12,1171.42
2019-12-11,1144.50
2019-12-10,1176.09
2019-12-09,1195.47
2019-12-06,1219.65
2019-12-05,1217.75
2019-12-04,1193.99
2019-12-03,1224.19
2019-12-02,1295.51
2019-11-29,1329.88
2019-11-27,1268.15
2019-11-26,1287.70
2019-11-25,1340.88
2019-11-22,1307.24
2019-11-21,1382.95
2019-11-20,1418.51
2019-11-19,1433.23
2019-11-18,1437.44
2019-11-15,1416.06
2019-11-14,1429.75
2019-11-13,1429.67
2019-11-12,1470.27
2019-11-11,1443.38
2019-11-08,1415.09
2019-11-07,1423.43
2019-11-06,1423.95
2019-11-05,1381.57
2019-11-04,1385.22
2019-11-01,1385.71
2019-10-31,1330.20
2019-10-30,1376.51
2019-10-29,1320.59
2019-10-28,1331.45
2019-10-25,1309.87
2019-10-24,1232.27
2019-10-23,1254.76
2019-10-22,1184.55
2019-10-21,1166.76
2019-10-18,1133.81
2019-10-17,1133.08
2019-10-16,1137.85
2019-10-15,1122.60
2019-10-14,1105.58
2019-10-11,1088.18
2019-10-10,1103.29
2019-10-09,1127.91
2019-10-08,1070.21
2019-10-07,1008.33
2019-10-04,1036.71
2019-10-03,1014.04
2019-10-02,1007.01
2019-10-01,1015.23
2019-09-30,1021.18
2019-09-27,1014.03
2019-09-26,996.80
2019-09-25,1018.87
2019-09-24,1027.86
2019-09-23,1011.13
2019-09-20,1024.26
2019-09-19,1006.41
2019-09-18,982.67
2019-09-17,1004.38
2019-09-16,1015.89
2019-09-13,978.60
2019-09-12,971.56
2019-09-11,962.82
2019-09-10,1012.67
2019-09-09,997.55
2019-09-06,1008.51
2019-09-05,1010.12
2019-09-04,997.79
2019-09-03,1053.36
2019-08-30,1006.44
2019-08-29,1025.28
2019-08-28,1018.62
2019-08-27,982.17
2019-08-26,1011.59
2019-08-23,1001.50
2019-08-22,1002.10
2019-08-21,1000.81
2019-08-20,1035.91
2019-08-19,1012.52
2019-08-16,984.99
2019-08-15,1013.56
2019-08-14,1003.14
2019-08-13,987.96
2019-08-12,981.88
2019-08-09,948.50
2019-08-08,966.18
2019-08-07,950.99
2019-08-06,962.00
2019-08-05,955.38
2019-08-02,938.03
2019-08-01,947.62
2019-07-31,944.87
2019-07-30,946.96
2019-07-29,925.49
2019-07-26,930.07
2019-07-25,930.79
2019-07-24,924.40
2019-07-23,909.07
2019-07-22,917.91
2019-07-19,959.53
2019-07-18,932.76
2019-07-17,946.36
2019-07-16,940.21
2019-07-15,977.77
2019-07-12,945.33
2019-07-11,945.06
2019-07-10,946.03
2019-07-09,955.59
2019-07-08,985.08
2019-07-05,970.83
2019-07-03,944.70
2019-07-02,961.73
2019-07-01,973.63
2019-06-28,970.85
2019-06-27,972.47
2019-06-26,980.68
2019-06-25,967.33
2019-06-24,990.18
2019-06-21,1007.38
2019-06-20,973.73
2019-06-19,969.95
2019-06-18,965.66
2019-06-17,954.27
2019-06-14,954.51
2019-06-13,950.35
2019-06-12,964.31
2019-06-11,956.15
2019-06-10,974.74
2019-06-07,962.19
2019-06-06,966.97
2019-06-05,962.87
2019-06-04,997.83
2019-06-03,971.94
2019-05-31,971.25
2019-05-30,968.87
2019-05-29,966.35
2019-05-28,963.92
2019-05-24,965.60
2019-05-23,963.70
2019-05-22,963.26
2019-05-21,957.33
2019-05-20,968.82
2019-05-17,963.19
2019-05-16,964.67
2019-05-15,965.61
2019-05-14,964.95
2019-05-13,977.78
2019-05-10,972.30
2019-05-09,964.75
