report_date,total_pounds
2020-02-07,50378
2020-02-06,63568
2020-02-05,237095
2020-02-04,
2020-02-03,1903
2020-01-31,
2020-01-30,28945
2020-01-29,30854
2020-01-28,123712
2020-01-27,
2020-01-24,
2020-01-23,
2020-01-22,2706
2020-01-21,
2020-01-20,
2020-01-17,
2020-01-16,56295
2020-01-15,124207
2020-01-14,19053
2020-01-13,29458
2020-01-10,15341
2020-01-09,
2020-01-08,21188
2020-01-07,132477
2020-01-06,585015
2020-01-03,118065
2020-01-02,
2019-12-31,
2019-12-30,90595
2019-12-27,166897
2019-12-26,
2019-12-23,6323
2019-12-20,9775
2019-12-19,22718
2019-12-18,38611
2019-12-17,39168
2019-12-16,17387
2019-12-13,
2019-12-12,68770
2019-12-11,110400
2019-12-10,226475
2019-12-09,
2019-12-06,
2019-12-05,140531
2019-12-04,85046
2019-12-03,247702
2019-12-02,
2019-11-29,5268
2019-11-27,
2019-11-26,22652
2019-11-25,303996
2019-11-22,
2019-11-21,144553
2019-11-20,37237
2019-11-19,53171
2019-11-18,4176
2019-11-15,167297
2019-11-14,452258
2019-11-13,19863
2019-11-12,46023
2019-11-11,80238
2019-11-08,
2019-11-07,207400
2019-11-06,4813
2019-11-05,3728
2019-11-04,
2019-11-01,3163
2019-10-31,
2019-10-30,
2019-10-29,14010
2019-10-28,23305
2019-10-25,4606
2019-10-24,17126
2019-10-23,10203
2019-10-22,3858
2019-10-21,
2019-10-18,
2019-10-17,
2019-10-16,12923
2019-10-15,4033
2019-10-14,
2019-10-11,
2019-10-10,
2019-10-09,6777
2019-10-08,11922
2019-10-07,1672
2019-10-04,
2019-10-03,37825
2019-10-02,3283
2019-10-01,
2019-09-30,19888
2019-09-27,
2019-09-26,161952
2019-09-25,8255
2019-09-24,
2019-09-23,2465
2019-09-20,
2019-09-19,3499
2019-09-18,36971
2019-09-17,
2019-09-16,
2019-09-13,34140
2019-09-12,19903
2019-09-11,14420
2019-09-10,84557
2019-09-09,
2019-09-06,7962
2019-09-05,21260
2019-09-04,2573
2019-09-03,
2019-08-30,
2019-08-29,26380
2019-08-28,18548
2019-08-27,5744
2019-08-26,4310
2019-08-23,25809
2019-08-22,39970
2019-08-21,15212
2019-08-20,
2019-08-19,14004
2019-08-16,
2019-08-15,26990
2019-08-14,38215
2019-08-13,
2019-08-12,19124
2019-08-09,7566
2019-08-08,15482
2019-08-07,
2019-08-06,19326
2019-08-05,2567
2019-08-02,
2019-08-01,27347
2019-07-31,48866
2019-07-30,
2019-07-29,10329
2019-07-26,21403
2019-07-25,34021
2019-07-24,5328
2019-07-23,
2019-07-22,7848
2019-07-19,
2019-07-18,155623
2019-07-17,8219
2019-07-16,40546
2019-07-15,242025
2019-07-12,
2019-07-11,14186
2019-07-10,15658
2019-07-09,
2019-07-08,
2019-07-05,
2019-07-03,24932
2019-07-02,
2019-07-01,136686
2019-06-28,32711
2019-06-27,13626
2019-06-26,24300
2019-06-25,25454
2019-06-24,361374
2019-06-21,
2019-06-20,149984
2019-06-19,2000
2019-06-18,15568
2019-06-17,20662
2019-06-14,1770
2019-06-13,
2019-06-12,4939
2019-06-11,
2019-06-10,1133
2019-06-07,
2019-06-06,
2019-06-05,425779
2019-06-04,
2019-06-03,
2019-05-31,1745
2019-05-30,43708
2019-05-29,39304
2019-05-28,
2019-05-24,51323
2019-05-23,
2019-05-22,6989
2019-05-21,8697
2019-05-20,285564
2019-05-17,
2019-05-16,
2019-05-15,1137
2019-05-14,9350
2019-05-13,
2019-05-10,
2019-05-09,20815
2019-05-08,6688
2019-05-07,25389
2019-05-06,4500
2019-05-03,
2019-05-02,130962
2019-05-01,343795
2019-04-30,
2019-04-29,7529
2019-04-26,202692
2019-04-25,
2019-04-24,21565
2019-04-23,1435
2019-04-22,
2019-04-19,
2019-04-18,13028
2019-04-17,1394
2019-04-16,75933
2019-04-15,
2019-04-12,116498
2019-04-11,
2019-04-10,45061
2019-04-09,185400
2019-04-08,
2019-04-05,
2019-04-04,
2019-04-03,1260
2019-04-02,124581
2019-04-01,26924
2019-03-29,
2019-03-28,
2019-03-27,32681
2019-03-26,149432
2019-03-25,5797
2019-03-22,10941
2019-03-21,63124
2019-03-20,91002
2019-03-19,15575
2019-03-18,49920
2019-03-15,
2019-03-14,
2019-03-13,215246
2019-03-12,66077
2019-03-11,61854
2019-03-08,5270
2019-03-07,68727
2019-03-06,2959
2019-03-05,
2019-03-04,4077
2019-03-01,
2019-02-28,
2019-02-27,10591
2019-02-26,232129
2019-02-25,26160
2019-02-22,13099
2019-02-21,31642
2019-02-20,
2019-02-19,101297
2019-02-18,
2019-02-15,83457
2019-02-14,13020
2019-02-13,
2019-02-12,1326
2019-02-11,
2019-02-08,
2019-02-07,17074
2019-02-06,24778
2019-02-05,
2019-02-04,
2019-02-01,
2019-01-31,
2019-01-30,2349
2019-01-29,
2019-01-28,90740
2019-01-25,6593
2019-01-24,
2019-01-23,24753
2019-01-22,
2019-01-21,
2019-01-18,
2019-01-17,6591
2019-01-16,
2019-01-15,63432
2019-01-14,88977
2019-01-11,11628
2019-01-10,21755
2019-01-09,14839
2019-01-08,180059
2019-01-07,
2019-01-04,
2019-01-03,228930
2019-01-02,
2018-12-31,
2018-12-28,76955
2018-12-27,86085
2018-12-26,2570
2018-12-21,
2018-12-20,8553
2018-12-19,
2018-12-18,
2018-12-17,16980
2018-12-14,
2018-12-13,28393
2018-12-12,1767
2018-12-11,13516
2018-12-10,13109
2018-12-07,
2018-12-06,19743
2018-12-05,29166
2018-12-04,
2018-12-03,83463
2018-11-30,1696
2018-11-29,11303
2018-11-28,3581
2018-11-27,
2018-11-26,
2018-11-23,
2018-11-21,17246
2018-11-20,14394
2018-11-19,
2018-11-16,22323
2018-11-15,
2018-11-14,
2018-11-13,
2018-11-12,4203
2018-11-09,69799
2018-11-08,15174
2018-11-07,3666
2018-11-06,17135
2018-11-05,
2018-11-02,
2018-11-01,11826
2018-10-31,8045
2018-10-30,7461
2018-10-29,6052
2018-10-26,
2018-10-25,
2018-10-24,57991
2018-10-23,
2018-10-22,13696
2018-10-19,
2018-10-18,
2018-10-17,49437
2018-10-16,
2018-10-15,
2018-10-12,9067
2018-10-11,2692
2018-10-10,18977
2018-10-09,
2018-10-08,154077
2018-10-05,
2018-10-04,85707
2018-10-03,122143
2018-10-02,74941
2018-10-01,13510
2018-09-28,
2018-09-27,3045
2018-09-26,3339
2018-09-25,104560
2018-09-24,9364
2018-09-21,
2018-09-20,
2018-09-19,12972
2018-09-18,36789
2018-09-17,7392
2018-09-14,
2018-09-13,18651
2018-09-12,108569
2018-09-11,24208
2018-09-10,10164
2018-09-07,73923
2018-09-06,177776
2018-09-05,11954
2018-09-04,4628
2018-08-31,30899
2018-08-30,
2018-08-29,103000
2018-08-28,50887
2018-08-27,3223
2018-08-24,
2018-08-23,19261
2018-08-22,44742
2018-08-21,
2018-08-20,4070
2018-08-17,
2018-08-16,12715
2018-08-15,3300
2018-08-14,9257
2018-08-13,9148
2018-08-10,2781
2018-08-09,46007
2018-08-08,42705
2018-08-07,30478
2018-08-06,101136
2018-08-03,61319
2018-08-02,156987
2018-08-01,
2018-07-31,8915
2018-07-30,
2018-07-27,99479
2018-07-26,82102
2018-07-25,79352
2018-07-24,5199
2018-07-23,7092
2018-07-20,
2018-07-19,135819
2018-07-18,72056
2018-07-17,
2018-07-16,40822
2018-07-13,80003
2018-07-12,186284
2018-07-11,
2018-07-10,3787
2018-07-09,
2018-07-06,
2018-07-05,12158
2018-07-03,1667
2018-07-03,1667
2018-07-02,22184
2018-06-29,1044
2018-06-28,48769
2018-06-27,39365
2018-06-26,80064
2018-06-25,5064
2018-06-22,
2018-06-21,34350
2018-06-20,70247
2018-06-19,51544
2018-06-18,1437
2018-06-15,
2018-06-14,14542
2018-06-13,
2018-06-12,23185
2018-06-11,112721
2018-06-08,
2018-06-07,13421
2018-06-06,55050
2018-06-05,40358
2018-06-04,5600
2018-06-01,
2018-05-31,38525
2018-05-30,76683
2018-05-29,
2018-05-25,1634
2018-05-24,101105
2018-05-23,5597
2018-05-22,14692
2018-05-21,
2018-05-18,
2018-05-17,3619
2018-05-16,14875
2018-05-15,26171
2018-05-14,38604
2018-05-11,
2018-05-10,48251
2018-05-09,
2018-05-08,39120
2018-05-07,2562
2018-05-04,
2018-05-03,
2018-05-02,
2018-05-01,45188
2018-04-30,
2018-04-27,1731
2018-04-26,25079
2018-04-25,26426
2018-04-24,79035
2018-04-23,51057
2018-04-20,51761
2018-04-19,52326
2018-04-18,133205
2018-04-17,7072
2018-04-16,4667
2018-04-13,
2018-04-12,11687
2018-04-11,51734
2018-04-10,20993
2018-04-09,
2018-04-06,1459
2018-04-05,
2018-04-04,1230
2018-04-03,
2018-04-02,
2018-03-30,
2018-03-29,10605
2018-03-28,
2018-03-27,61292
2018-03-26,29633
2018-03-23,
2018-03-22,
2018-03-21,18382
2018-03-20,
2018-03-19,46124
2018-03-16,15205
2018-03-15,28812
2018-03-14,83717
2018-03-13,38736
2018-03-12,8522
2018-03-09,57359
2018-03-08,134286
2018-03-07,249214
2018-03-06,3841
2018-03-05,
2018-03-02,
2018-03-01,
2018-02-28,32120
2018-02-27,
2018-02-26,
2018-02-23,19058
2018-02-22,379318
2018-02-21,8219
2018-02-20,
2018-02-19,
